step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
67,1.3400,-2.149809,2,head_bob,0.115301,-0.001412,0.005474,-0.001060,-0.011641
68,1.3600,-1.898566,2,head_bob,0.115292,-0.001637,0.005684,-0.000091,-0.010303
69,1.3800,-1.647322,2,head_bob,0.115299,-0.001817,0.005408,0.000549,-0.007725
70,1.4000,-1.396079,2,head_bob,0.115319,-0.001945,0.004698,0.001282,-0.003741
71,1.4200,-1.144835,2,head_bob,0.115348,-0.001996,0.003805,0.001077,0.003149
72,1.4400,-0.893591,2,head_bob,0.115362,-0.001828,0.003150,0.000807,0.010695
73,1.4600,-0.642348,2,head_bob,0.115381,-0.001626,0.002749,0.000970,0.010268
74,1.4800,-0.391104,2,head_bob,0.115393,-0.001612,0.002631,0.000903,-0.000261
75,1.5000,-0.139860,2,head_bob,0.115402,-0.001559,0.002717,0.000245,0.004281
76,1.5200,0.111383,2,head_bob,0.115400,-0.001412,0.002976,-0.000353,0.008929
77,1.5400,0.362627,2,head_bob,0.115395,-0.001276,0.003141,0.000252,-0.000065
78,1.5600,0.613871,2,head_bob,0.115392,-0.001332,0.002900,-0.000428,-0.002528
79,1.5800,0.865114,2,head_bob,0.115397,-0.001485,0.002336,0.001178,-0.003023
80,1.6000,1.116358,2,head_bob,0.115415,-0.001636,0.001360,0.001404,-0.004083
81,1.6200,1.367601,2,head_bob,0.115459,-0.001704,-0.000032,0.002452,-0.002125
82,1.6400,1.618845,2,head_bob,0.115506,-0.001836,-0.001393,0.001756,-0.003097
83,1.6600,1.870089,2,head_bob,0.115528,-0.001865,-0.002242,0.000890,-0.000063
84,1.6800,2.121332,2,head_bob,0.115542,-0.001911,-0.002449,0.000601,-0.003113
85,1.7000,2.372576,2,head_bob,0.115540,-0.001983,-0.002127,-0.000773,-0.005572
86,1.7200,2.623820,2,head_bob,0.115521,-0.002032,-0.001519,-0.000997,-0.000158
87,1.7400,2.875063,2,head_bob,0.115504,-0.001851,-0.000652,-0.000293,0.016423
88,1.7600,3.126307,2,head_bob,0.115482,-0.001424,0.000555,-0.001988,0.017227
89,1.7800,-2.905635,2,head_bob,0.115445,-0.001276,0.001873,-0.001584,-0.002546
90,1.8000,-2.654391,2,head_bob,0.115382,-0.001186,0.003295,-0.002944,-0.000180
91,1.8200,-2.403147,2,head_bob,0.115337,-0.001311,0.004599,-0.002036,-0.010463
92,1.8400,-2.151904,2,head_bob,0.115297,-0.001433,0.005505,-0.001372,-0.008627
93,1.8600,-1.900660,2,head_bob,0.115288,-0.001626,0.005749,-0.000037,-0.009149
94,1.8800,-1.649417,2,head_bob,0.115296,-0.001801,0.005447,0.000620,-0.007771
95,1.9000,-1.398173,2,head_bob,0.115317,-0.001934,0.004712,0.001327,-0.003964
96,1.9200,-1.146929,2,head_bob,0.115346,-0.001989,0.003802,0.001107,0.003117
97,1.9400,-0.895686,2,head_bob,0.115362,-0.001826,0.003145,0.000826,0.010307
98,1.9600,-0.644442,2,head_bob,0.115380,-0.001631,0.002743,0.000985,0.009966
99,1.9800,-0.393198,2,head_bob,0.115391,-0.001599,0.002625,0.001302,-0.001269
100,2.0000,-0.141955,2,head_bob,0.115403,-0.001554,0.002713,0.000287,0.004394
101,2.0200,0.109289,2,head_bob,0.115400,-0.001404,0.002971,-0.000357,0.008850
102,2.0400,0.360533,2,head_bob,0.115396,-0.001270,0.003156,0.000246,-0.000093
103,2.0600,0.611776,2,head_bob,0.115391,-0.001310,0.002931,-0.000164,-0.003902
104,2.0800,0.863020,2,head_bob,0.115398,-0.001477,0.002379,0.001177,-0.003378
105,2.1000,1.114263,2,head_bob,0.115421,-0.001526,0.001451,0.000765,-0.004594
106,2.1200,1.365507,2,head_bob,0.115460,-0.001590,0.000122,0.002338,-0.002065
107,2.1400,1.616751,2,head_bob,0.115506,-0.001724,-0.001187,0.001729,-0.003414
108,2.1600,1.867994,2,head_bob,0.115527,-0.001763,-0.002022,0.000886,-0.000719
109,2.1800,2.119238,2,head_bob,0.115542,-0.001825,-0.002245,0.000602,-0.003943
110,2.2000,2.370482,2,head_bob,0.115535,-0.001932,-0.001971,-0.000874,-0.006628
111,2.2200,2.621725,2,head_bob,0.115517,-0.001983,-0.001404,-0.000888,0.000152
112,2.2400,2.872969,2,head_bob,0.115502,-0.001795,-0.000569,-0.000218,0.016748
113,2.2600,3.124213,2,head_bob,0.115481,-0.001365,0.000612,-0.001946,0.017376
114,2.2800,-2.907729,2,head_bob,0.115445,-0.001219,0.001912,-0.001563,-0.002698
115,2.3000,-2.656486,2,head_bob,0.115382,-0.001136,0.003324,-0.002934,-0.000504
116,2.3200,-2.405242,2,head_bob,0.115337,-0.001267,0.004621,-0.002035,-0.010828
117,2.3400,-2.153998,2,head_bob,0.115297,-0.001398,0.005523,-0.001377,-0.008944
118,2.3600,-1.902755,2,head_bob,0.115287,-0.001594,0.005764,-0.000037,-0.009201
119,2.3800,-1.651511,2,head_bob,0.115295,-0.001771,0.005453,0.000623,-0.007912
120,2.4000,-1.400267,2,head_bob,0.115317,-0.001906,0.004706,0.001335,-0.004082
121,2.4200,-1.149024,2,head_bob,0.115347,-0.001964,0.003787,0.001117,0.003010
122,2.4400,-0.897780,2,head_bob,0.115362,-0.001804,0.003124,0.000836,0.010113
123,2.4600,-0.646536,2,head_bob,0.115381,-0.001613,0.002720,0.001000,0.009736
124,2.4800,-0.395293,2,head_bob,0.115393,-0.001603,0.002602,0.000908,-0.000159
125,2.5000,-0.144049,2,head_bob,0.115403,-0.001544,0.002691,0.000245,0.004903
126,2.5200,0.107194,2,head_bob,0.115400,-0.001388,0.002957,-0.000347,0.009047
127,2.5400,0.358438,2,head_bob,0.115396,-0.001252,0.003148,0.000262,-0.000125
128,2.5600,0.609682,2,head_bob,0.115392,-0.001308,0.002938,-0.000425,-0.002462
