step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
0,0.0000,3.074804,0,squat_bounce,0.123500,-0.000049,-0.000211,-0.149889,-0.004709
1,0.0200,-3.082759,0,squat_bounce,0.118010,-0.000214,-0.001232,-0.349139,-0.010503
2,0.0400,-2.957138,0,squat_bounce,0.113833,0.000813,-0.000567,-0.074587,0.080805
3,0.0600,-2.831516,0,squat_bounce,0.113250,0.001582,0.000779,-0.018486,-0.003500
4,0.0800,-2.705894,0,squat_bounce,0.112786,0.001070,0.001762,-0.028068,-0.022687
5,0.1000,-2.580272,0,squat_bounce,0.112166,0.000473,0.003561,-0.032084,-0.031074
6,0.1200,-2.454650,0,squat_bounce,0.111516,-0.000037,0.005243,-0.032245,-0.020115
7,0.1400,-2.329029,0,squat_bounce,0.110913,-0.000297,0.006822,-0.028379,-0.007339
8,0.1600,-2.203407,0,squat_bounce,0.110440,-0.000106,0.008289,-0.021151,0.017312
9,0.1800,-2.077785,0,squat_bounce,0.110066,0.000221,0.009518,-0.017273,0.021443
10,0.2000,-1.952163,0,squat_bounce,0.109784,0.000670,0.010415,-0.012370,0.025746
11,0.2200,-1.826541,0,squat_bounce,0.109570,0.001157,0.010786,-0.009711,0.022429
12,0.2400,-1.700919,0,squat_bounce,0.109419,0.001515,0.010393,-0.006681,0.013232
13,0.2600,-1.575298,0,squat_bounce,0.109290,0.001840,0.009354,-0.006452,0.005578
14,0.2800,-1.449676,0,squat_bounce,0.109174,0.001951,0.007804,-0.006257,-0.004984
15,0.3000,-1.324054,0,squat_bounce,0.109036,0.002177,0.005849,-0.007219,0.016282
16,0.3200,-1.198432,0,squat_bounce,0.108892,0.002524,0.003857,-0.006923,0.013508
17,0.3400,-1.072810,0,squat_bounce,0.108754,0.002696,0.002141,-0.007233,0.005700
18,0.3600,-0.947189,0,squat_bounce,0.108605,0.002772,0.000620,-0.007468,0.002919
19,0.3800,-0.821567,0,squat_bounce,0.108455,0.002728,-0.000652,-0.007785,-0.004318
20,0.4000,-0.695945,0,squat_bounce,0.108306,0.002618,-0.001641,-0.007340,-0.008241
21,0.4200,-0.570323,0,squat_bounce,0.108164,0.002413,-0.002275,-0.006625,-0.009196
22,0.4400,-0.444701,0,squat_bounce,0.108044,0.002094,-0.002555,-0.005723,-0.018654
23,0.4600,-0.319079,0,squat_bounce,0.107955,0.001710,-0.002650,-0.003863,-0.022330
24,0.4800,-0.193458,0,squat_bounce,0.107899,0.001298,-0.002604,-0.001945,-0.019624
25,0.5000,-0.067836,0,squat_bounce,0.107880,0.000901,-0.002571,-0.000425,-0.017578
26,0.5200,0.057786,0,squat_bounce,0.107887,0.000669,-0.002555,0.000564,-0.012940
27,0.5400,0.183408,0,squat_bounce,0.107908,0.000456,-0.002597,0.001611,-0.005273
28,0.5600,0.309030,0,squat_bounce,0.107959,0.000235,-0.002689,0.002960,-0.011987
29,0.5800,0.434651,0,squat_bounce,0.108034,0.000067,-0.002839,0.004446,-0.007324
30,0.6000,0.560273,0,squat_bounce,0.108134,-0.000131,-0.002919,0.005195,-0.009995
31,0.6200,0.685895,0,squat_bounce,0.108249,-0.000259,-0.003032,0.006190,-0.008329
32,0.6400,0.811517,0,squat_bounce,0.108371,-0.000450,-0.003055,0.005927,-0.009606
