step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
63,1.2600,3.128401,0,squat_bounce,0.108329,-0.000447,-0.007726,-0.002293,0.007056
64,1.2800,-2.903540,0,squat_bounce,0.108233,-0.000356,-0.006315,-0.006169,0.003628
65,1.3000,-2.652297,0,squat_bounce,0.108059,-0.000329,-0.004667,-0.009975,-0.000415
66,1.3200,-2.401053,0,squat_bounce,0.107798,-0.000348,-0.003316,-0.014331,-0.004692
67,1.3400,-2.149809,0,squat_bounce,0.107471,-0.000435,-0.001920,-0.017299,-0.003271
68,1.3600,-1.898566,0,squat_bounce,0.107103,-0.000460,-0.000610,-0.018653,-0.001048
69,1.3800,-1.647322,0,squat_bounce,0.106747,-0.000416,0.000349,-0.018154,-0.001652
70,1.4000,-1.396079,0,squat_bounce,0.106385,-0.000639,0.000922,-0.017625,-0.019661
71,1.4200,-1.144835,0,squat_bounce,0.106125,-0.000707,0.000865,-0.010898,0.004367
72,1.4400,-0.893591,0,squat_bounce,0.105960,-0.000616,0.000212,-0.007178,-0.001026
73,1.4600,-0.642348,0,squat_bounce,0.105864,-0.000830,-0.000529,-0.002377,-0.008974
74,1.4800,-0.391104,0,squat_bounce,0.105870,-0.001012,-0.001282,0.000999,-0.011435
75,1.5000,-0.139860,0,squat_bounce,0.105937,-0.001287,-0.002393,0.005455,-0.010694
76,1.5200,0.111383,0,squat_bounce,0.106091,-0.001484,-0.004004,0.008298,-0.009111
77,1.5400,0.362627,0,squat_bounce,0.106286,-0.001677,-0.005563,0.011835,0.000529
78,1.5600,0.613871,0,squat_bounce,0.106565,-0.001436,-0.007050,0.014711,0.017466
79,1.5800,0.865114,0,squat_bounce,0.106858,-0.001176,-0.008093,0.014680,0.009441
80,1.6000,1.116358,0,squat_bounce,0.107167,-0.000959,-0.008827,0.015185,0.010093
81,1.6200,1.367601,0,squat_bounce,0.107466,-0.000755,-0.009325,0.014437,0.010203
82,1.6400,1.618845,0,squat_bounce,0.107730,-0.000542,-0.009610,0.012655,0.011552
83,1.6600,1.870089,0,squat_bounce,0.107969,-0.000324,-0.009902,0.011003,0.008749
84,1.6800,2.121332,0,squat_bounce,0.108139,-0.000293,-0.010017,0.007082,-0.005279
85,1.7000,2.372576,0,squat_bounce,0.108238,-0.000436,-0.009658,0.003777,-0.005649
86,1.7200,2.623820,0,squat_bounce,0.108291,-0.000448,-0.009087,0.002466,0.001406
87,1.7400,2.875063,0,squat_bounce,0.108319,-0.000315,-0.008521,0.000532,0.009399
88,1.7600,3.126307,0,squat_bounce,0.108291,-0.000100,-0.007594,-0.002497,0.010298
89,1.7800,-2.905635,0,squat_bounce,0.108198,0.000036,-0.006326,-0.005865,0.004339
90,1.8000,-2.654391,0,squat_bounce,0.108041,0.000058,-0.005064,-0.009174,-0.004240
91,1.8200,-2.403147,0,squat_bounce,0.107783,-0.000099,-0.003577,-0.014449,-0.007731
92,1.8400,-2.151904,0,squat_bounce,0.107463,-0.000192,-0.002144,-0.016024,-0.001301
93,1.8600,-1.900660,0,squat_bounce,0.107116,-0.000249,-0.001003,-0.018323,-0.005875
94,1.8800,-1.649417,0,squat_bounce,0.106743,-0.000390,-0.000180,-0.018453,-0.007593
95,1.9000,-1.398173,0,squat_bounce,0.106400,-0.000594,0.000425,-0.015589,-0.009160
96,1.9200,-1.146929,0,squat_bounce,0.106148,-0.000590,0.000355,-0.011010,0.004251
97,1.9400,-0.895686,0,squat_bounce,0.105969,-0.000607,-0.000164,-0.008288,-0.010565
98,1.9600,-0.644442,0,squat_bounce,0.105878,-0.000724,-0.000823,-0.002816,-0.011044
99,1.9800,-0.393198,0,squat_bounce,0.105873,-0.000983,-0.001499,0.001506,-0.008033
100,2.0000,-0.141955,0,squat_bounce,0.105947,-0.001128,-0.002472,0.004535,-0.012706
101,2.0200,0.109289,0,squat_bounce,0.106097,-0.001266,-0.003967,0.008271,-0.004630
102,2.0400,0.360533,0,squat_bounce,0.106279,-0.001472,-0.005422,0.011415,-0.000760
103,2.0600,0.611776,0,squat_bounce,0.106555,-0.001196,-0.006817,0.014071,0.021525
104,2.0800,0.863020,0,squat_bounce,0.106830,-0.000983,-0.007844,0.015052,0.006177
105,2.1000,1.114263,0,squat_bounce,0.107145,-0.000871,-0.008672,0.015684,0.005470
106,2.1200,1.365507,0,squat_bounce,0.107442,-0.000737,-0.009265,0.014440,0.009736
107,2.1400,1.616751,0,squat_bounce,0.107709,-0.000508,-0.009664,0.012747,0.008711
108,2.1600,1.867994,0,squat_bounce,0.107942,-0.000383,-0.009817,0.010772,0.006516
109,2.1800,2.119238,0,squat_bounce,0.108110,-0.000464,-0.009814,0.007046,-0.008226
110,2.2000,2.370482,0,squat_bounce,0.108217,-0.000534,-0.009569,0.004547,-0.001192
111,2.2200,2.621725,0,squat_bounce,0.108271,-0.000553,-0.009010,0.001703,-0.001025
112,2.2400,2.872969,0,squat_bounce,0.108299,-0.000389,-0.008456,0.000773,0.011965
113,2.2600,3.124213,0,squat_bounce,0.108278,-0.000125,-0.007693,-0.002147,0.012492
114,2.2800,-2.907729,0,squat_bounce,0.108199,0.000059,-0.006621,-0.005286,0.003949
115,2.3000,-2.656486,0,squat_bounce,0.108037,0.000049,-0.005151,-0.010128,-0.003810
116,2.3200,-2.405242,0,squat_bounce,0.107780,-0.000041,-0.003619,-0.013410,-0.002549
117,2.3400,-2.153998,0,squat_bounce,0.107472,-0.000069,-0.002377,-0.016560,0.004468
118,2.3600,-1.902755,0,squat_bounce,0.107119,-0.000188,-0.001266,-0.018174,-0.008176
119,2.3800,-1.651511,0,squat_bounce,0.106750,-0.000334,-0.000107,-0.018229,-0.006960
120,2.4000,-1.400267,0,squat_bounce,0.106427,-0.000404,0.000717,-0.014584,0.002109
121,2.4200,-1.149024,0,squat_bounce,0.106162,-0.000415,0.000941,-0.012922,-0.009830
122,2.4400,-0.897780,0,squat_bounce,0.105976,-0.000526,0.000551,-0.007299,-0.002876
123,2.4600,-0.646536,0,squat_bounce,0.105877,-0.000706,-0.000215,-0.003433,-0.007398
124,2.4800,-0.395293,0,squat_bounce,0.105872,-0.000990,-0.000947,0.000727,-0.019378
125,2.5000,-0.144049,0,squat_bounce,0.105940,-0.001208,-0.001877,0.003701,-0.006354
126,2.5200,0.107194,0,squat_bounce,0.106052,-0.001130,-0.003122,0.008214,0.002697
127,2.5400,0.358438,0,squat_bounce,0.106269,-0.001171,-0.004647,0.011506,-0.005483
128,2.5600,0.609682,0,squat_bounce,0.106535,-0.001171,-0.006291,0.013849,0.002473
129,2.5800,0.860925,0,squat_bounce,0.106828,-0.001075,-0.007629,0.015092,0.006790
130,2.6000,1.112169,0,squat_bounce,0.107134,-0.000910,-0.008613,0.015083,0.007484
131,2.6200,1.363413,0,squat_bounce,0.107438,-0.000721,-0.009261,0.014972,0.010257
132,2.6400,1.614656,0,squat_bounce,0.107702,-0.000539,-0.009577,0.012827,0.011954
133,2.6600,1.865900,0,squat_bounce,0.107940,-0.000270,-0.009870,0.011334,0.011860
134,2.6800,2.117144,0,squat_bounce,0.108116,-0.000219,-0.010004,0.007422,-0.000514
135,2.7000,2.368387,0,squat_bounce,0.108225,-0.000335,-0.009613,0.004232,-0.005062
