step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
65,1.3000,-2.652297,1,weight_shift,0.115500,-0.003580,-0.003800,-0.000933,-0.007530
66,1.3200,-2.401053,1,weight_shift,0.115489,-0.003651,-0.003058,-0.000408,-0.006024
67,1.3400,-2.149809,1,weight_shift,0.115478,-0.003713,-0.002206,-0.000602,-0.003984
68,1.3600,-1.898566,1,weight_shift,0.115468,-0.003685,-0.001403,-0.000128,0.004293
69,1.3800,-1.647322,1,weight_shift,0.115467,-0.003619,-0.000627,-0.000121,0.001406
70,1.4000,-1.396079,1,weight_shift,0.115463,-0.003540,0.000062,-0.000180,0.002469
71,1.4200,-1.144835,1,weight_shift,0.115461,-0.003467,0.000338,0.000089,0.005468
72,1.4400,-0.893591,1,weight_shift,0.115462,-0.003470,0.000431,-0.000004,-0.001488
73,1.4600,-0.642348,1,weight_shift,0.115461,-0.003496,0.000378,-0.000121,-0.000794
74,1.4800,-0.391104,1,weight_shift,0.115459,-0.003525,0.000042,-0.000077,-0.000751
75,1.5000,-0.139860,1,weight_shift,0.115462,-0.003523,-0.000531,0.000238,0.000286
76,1.5200,0.111383,1,weight_shift,0.115465,-0.003577,-0.001115,0.000079,-0.001632
77,1.5400,0.362627,1,weight_shift,0.115465,-0.003640,-0.001797,-0.000034,-0.001003
78,1.5600,0.613871,1,weight_shift,0.115470,-0.003642,-0.002619,0.000286,0.001393
79,1.5800,0.865114,1,weight_shift,0.115475,-0.003656,-0.003329,0.000149,0.001230
80,1.6000,1.116358,1,weight_shift,0.115480,-0.003623,-0.004058,0.000622,0.006919
81,1.6200,1.367601,1,weight_shift,0.115488,-0.003558,-0.004578,0.000274,0.003633
82,1.6400,1.618845,1,weight_shift,0.115491,-0.003516,-0.004993,0.000103,0.002938
83,1.6600,1.870089,1,weight_shift,0.115498,-0.003483,-0.005350,0.000121,-0.000154
84,1.6800,2.121332,1,weight_shift,0.115498,-0.003519,-0.005567,-0.000100,-0.001350
85,1.7000,2.372576,1,weight_shift,0.115498,-0.003534,-0.005809,0.000136,-0.000523
86,1.7200,2.623820,1,weight_shift,0.115502,-0.003547,-0.005863,0.000698,0.006054
87,1.7400,2.875063,1,weight_shift,0.115504,-0.003470,-0.005766,0.000456,0.008302
88,1.7600,3.126307,1,weight_shift,0.115502,-0.003409,-0.005534,-0.000257,-0.002416
89,1.7800,-2.905635,1,weight_shift,0.115489,-0.003490,-0.004954,-0.000815,-0.006253
90,1.8000,-2.654391,1,weight_shift,0.115482,-0.003473,-0.004274,-0.000194,0.002001
91,1.8200,-2.403147,1,weight_shift,0.115471,-0.003523,-0.003435,-0.000700,-0.006076
92,1.8400,-2.151904,1,weight_shift,0.115456,-0.003580,-0.002493,-0.000662,-0.004427
93,1.8600,-1.900660,1,weight_shift,0.115452,-0.003568,-0.001661,-0.000189,-0.002789
94,1.8800,-1.649417,1,weight_shift,0.115446,-0.003541,-0.000769,-0.000288,0.000328
95,1.9000,-1.398173,1,weight_shift,0.115442,-0.003470,-0.000114,-0.000182,0.002210
96,1.9200,-1.146929,1,weight_shift,0.115442,-0.003403,0.000152,0.000126,-0.000061
